hack-sign	.hack
clione-no-akari	Clione no Akari
c3-cube-cursed-curious	C³
chihayafuru	Chihayafuru
capeta	Capeta
chiruran-nibun-no-ichi	Chiruran: Nibun no Ichi
classicaloid	ClassicaLoid
chou-shounen-tanteidan-neo	Chou Shounen Tanteidan Neo
charlotte	Charlotte
code-geass	Code Geass: Hangyaku no Lelouch
cross-game	Cross Game
code-geass-r2	Code Geass: Hangyaku no Lelouch R2
chaos-child-silent-sky	ChäoS;Child: Silent Sky
clockwork-planet	Clockwork Planet
code-geass-boukoku-no-akito	Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita
chihayafuru-2	Chihayafuru 2
crayon-shin-chan-gaiden-alien-vs-shinnosuke	Crayon Shin-chan Gaiden: Alien vs. Shinnosuke
concrete-revolutio-choujin-gensou-the-last-song	Concrete Revolutio: Choujin Gensou - The Last Song
coyote-ragtime-show	Coyote Ragtime Show
cardfight-vanguard-g-stride-gate-hen	Cardfight!! Vanguard G: Stride Gate-hen
coppelion	Coppelion
code-geass-boukoku-no-akito-2	Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu
clannad	Clannad
code-geass-boukoku-no-akito-3	Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu
clannad-after-story	Clannad: After Story
code-geass-boukoku-no-akito-4	Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara
charlotte-special	Charlotte Special
code-geass-boukoku-no-akito-5	Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e
cinderella-girls-gekijou	Cinderella Girls Gekijou
coluboccoro	Coluboccoro
cinderella-girls-gekijou-2nd-season	Cinderella Girls Gekijou 2nd Season
cardfight-vanguard-g-next	Cardfight!! Vanguard G: Next
code-realize-sousei-no-himegimi	Code:Realize: Sousei no Himegimi
classicaloid-2nd-season	ClassicaLoid 2nd Season
le-portrait-de-petit-cossette	Cossette no Shouzou
cheating-craft	Cheating Craft
cardfight-vanguard-g-z	Cardfight!! Vanguard G: Z
captain-tsubasa-road-to-2002	Captain Tsubasa: Road to 2002
choboraunyopomi-gekijou-ai-mai-mii	Choboraunyopomi Gekijou Ai Mai Mii
cinderella-girls-gekijou:-kayou-cinderella-theater	Cinderella Girls Gekijou: Kayou Cinderella Theater
